Satellite Name,weather,temperature
COSMOS 2491 DEB,few clouds,39
COSMOS 2491 DEB,few clouds,39
COSMOS 2543,few clouds,39
COSMOS 2543 (GLONASS,few clouds,39
FREGAT R/B,few clouds,39
GONETS M 14 (M26),few clouds,39
GONETS M 15 (M27),few clouds,39
GONETS M 16 (M28),few clouds,39
OBJECT D,few clouds,39
COSMOS 2491 DEB,few clouds,39
COSMOS 2491 DEB,few clouds,39
GONETS M 14 (M26),few clouds,39
GONETS M 15 (M27),few clouds,39
GONETS M 16 (M28),few clouds,39
OBJECT D,few clouds,39
COSMOS 2491 DEB,few clouds,39
COSMOS 2491 DEB,few clouds,39
FLOCK 4P 12,broken clouds,95
FLOCK 4P 4,broken clouds,95
FLOCK 4P 3,broken clouds,95
FLOCK 4P 1,broken clouds,95
FLOCK 4P 8,broken clouds,95
FLOCK 4P 7,broken clouds,95
FLOCK 4P 6,broken clouds,95
FLOCK 4P 5,broken clouds,95
TYVAK-0092,broken clouds,95
Tyvak-0129,broken clouds,95
OBJECT C,broken clouds,95
LEMUR 2 JPGSQUARED,broken clouds,95
QPS-SAR-1 IZANAGI,broken clouds,95
RISAT-2BR1,broken clouds,95
OBJECT G,broken clouds,95
IHOPSAT-TD,broken clouds,95
LEMUR 2 HIMOMANDDAD,broken clouds,95
LEMUR 2 PAPPY,broken clouds,95
PSLV R/B,broken clouds,95
LEMUR 2 THEODOSIA,broken clouds,95
GAOFEN 12,few clouds,65
CZ-4C R/B,few clouds,65
JILIN-01 GAOFEN 2B,few clouds,65
KZ-1A R/B,few clouds,65
OBJECT A,few clouds,65
OBJECT B,few clouds,65
OBJECT C,few clouds,65
OBJECT D,few clouds,65
OBJECT E,few clouds,65
OBJECT F,few clouds,65
KZ-1A R/B,few clouds,65
OBJECT A,few clouds,65
OBJECT B,few clouds,65
OBJECT C,few clouds,65
OBJECT D,few clouds,65
CBERS 4A,few clouds,65
OBJECT F,few clouds,65
OBJECT G,few clouds,65
OBJECT H,few clouds,65
OBJECT J,few clouds,65
CZ-4B R/B,few clouds,65
OBJECT L,few clouds,65
OBJECT M,few clouds,65
OBJECT N,few clouds,65
DRAGON CRS-19,clear sky,73
DRAGON CRS-19 DEB,clear sky,73
DRAGON CRS-19 DEB,clear sky,73
ATLAS 5 CENTAUR DEB,clear sky,73
ATLAS 5 CENTAUR DEB,clear sky,73
ATLAS 5 CENTAUR DEB,clear sky,73
ATLAS 5 CENTAUR DEB,clear sky,73
ATLAS 5 CENTAUR R/B DEB,clear sky,73
JCSAT 18,clear sky,73
FALCON 9 R/B,clear sky,73
ATLAS 5 CENTAUR DEB,clear sky,73
ATLAS 5 CENTAUR DEB,clear sky,73
ATLAS 5 CENTAUR DEB,clear sky,73
ATLAS 5 CENTAUR DEB,clear sky,73
ATLAS 5 CENTAUR DEB,clear sky,73
ATLAS 5 CENTAUR DEB,clear sky,73
ATLAS 5 CENTAUR DEB,clear sky,73
CST-100 STARLINER,clear sky,73
CST-100 STARLINER,clear sky,73
ALE-2,light rain,55
ELECTRON KICK STAGE R/B,light rain,55
ELECTRON R/B,light rain,55
NOOR 1A,light rain,55
NOOR 1B,light rain,55
FOSSASAT-1,light rain,55
TRSI,light rain,55
ATL-1,light rain,55
SMOG-P,light rain,55
PROGRESS MS-13,clear sky,66
PROGRESS MS-13,clear sky,66
SL-4 R/B,clear sky,66
SL-4 R/B,clear sky,66
SL-12 DEB,clear sky,66
SL-12 DEB,clear sky,66
SL-12 DEB,clear sky,66
SL-12 DEB,clear sky,66
SL-12 DEB,clear sky,66
SL-12 DEB,clear sky,66
SL-12 DEB,clear sky,66
SL-12 DEB,clear sky,66
ELEKTRO-L 3,clear sky,66
ELEKTRO-L 3,clear sky,66
BLOCK DM-SL R/B,clear sky,66
BLOCK DM-SL R/B,clear sky,66
ELEKTRO-L 3,clear sky,66
ELEKTRO-L 3,clear sky,66
BLOCK DM-SL R/B,clear sky,66
BLOCK DM-SL R/B,clear sky,66
BEIDOU 3M19,clear sky,83
BEIDOU 3M20,clear sky,83
YZ-1 R/B,clear sky,83
CZ-3B R/B,clear sky,83
CSG-1,overcast clouds,81
CHEOPS,overcast clouds,81
ASAP -S,overcast clouds,81
ANGELS,overcast clouds,81
EYESAT-NANO,overcast clouds,81
OPS-SAT,overcast clouds,81
SJ-7 DEB,scattered clouds,68
SJ-7 DEB,scattered clouds,68
SJ-7 DEB,scattered clouds,68
SJ-7 DEB,scattered clouds,68
Could not find weather
Could not find weather